,date,open,high,low,close,volume
0,2025-11-03 17:20:00+00:00,3641.46,3668.0,3640.84,3646.38,67432.207
1,2025-11-03 17:25:00+00:00,3646.39,3647.34,3635.0,3637.85,22339.851
2,2025-11-03 17:30:00+00:00,3637.86,3651.65,3636.36,3649.12,19139.08
3,2025-11-03 17:35:00+00:00,3649.11,3663.71,3648.05,3658.75,25174.968
4,2025-11-03 17:40:00+00:00,3658.74,3665.0,3654.01,3660.68,21143.879
5,2025-11-03 17:45:00+00:00,3660.67,3681.23,3660.46,3674.01,38522.149
6,2025-11-03 17:50:00+00:00,3674.01,3674.73,3657.18,3658.08,23412.246
7,2025-11-03 17:55:00+00:00,3658.09,3666.72,3655.64,3664.65,13812.642
8,2025-11-03 18:00:00+00:00,3664.65,3671.96,3657.31,3663.53,15298.089
9,2025-11-03 18:05:00+00:00,3663.54,3665.44,3654.86,3663.97,13941.668
10,2025-11-03 18:10:00+00:00,3663.97,3669.02,3652.14,3657.51,15272.703
11,2025-11-03 18:15:00+00:00,3657.51,3663.0,3654.12,3660.8,9340.27
12,2025-11-03 18:20:00+00:00,3660.8,3665.53,3658.36,3659.3,5339.521
13,2025-11-03 18:25:00+00:00,3659.31,3662.49,3648.0,3650.19,10701.279
14,2025-11-03 18:30:00+00:00,3650.19,3656.09,3648.2,3650.0,7126.319
15,2025-11-03 18:35:00+00:00,3650.01,3654.3,3647.0,3648.14,8477.322
16,2025-11-03 18:40:00+00:00,3648.14,3649.47,3636.36,3639.73,22474.901
17,2025-11-03 18:45:00+00:00,3639.72,3644.69,3632.28,3638.01,22235.777
18,2025-11-03 18:50:00+00:00,3638.0,3646.75,3635.0,3636.94,8140.951
19,2025-11-03 18:55:00+00:00,3636.95,3637.91,3629.0,3630.75,9581.508
20,2025-11-03 19:00:00+00:00,3630.75,3634.92,3620.7,3623.05,36987.466
21,2025-11-03 19:05:00+00:00,3623.06,3629.37,3618.77,3624.9,21328.914
22,2025-11-03 19:10:00+00:00,3624.89,3632.63,3622.55,3631.29,9161.176
